trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
110,False,"{'a': 0.01, 'e': 0.4446615167417068}",20,0,-28.57857169774979,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
111,False,"{'a': 0.01, 'e': 0.4356824462767121}",30,10,1.0014132566906997,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",1
112,False,"{'a': 0.01, 'e': 0.42665980793015723}",25,13,5.452151286606156,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.01, 'e': 0.41759450395835795}",30,1,8.491801552643324,"{0: 26, 1: 0, 2: 3, 3: 0, 4: 0}",1
114,False,"{'a': 0.01, 'e': 0.40848744088415717}",20,13,-0.12938226485351612,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
115,False,"{'a': 0.01, 'e': 0.3993395294062732}",20,12,14.701922723687073,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.01, 'e': 0.3901516843082303}",25,14,21.046622254616274,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.01, 'e': 0.38092482436688185}",25,0,-91.77234958036175,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 2}",0
118,False,"{'a': 0.01, 'e': 0.371659872260533}",20,9,16.242483369033625,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.01, 'e': 0.3623577544766736}",20,13,12.542722418202908,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.01, 'e': 0.3530194012193304}",25,0,-13.74897081064205,"{0: 19, 1: 4, 2: 2, 3: 0, 4: 0}",0
121,False,"{'a': 0.01, 'e': 0.34364574631604705}",25,12,22.4150789176754,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.01, 'e': 0.3342377271245026}",20,6,-27.674919343437686,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
123,False,"{'a': 0.01, 'e': 0.32479628443877623}",35,0,-59.14573103117523,"{0: 28, 1: 1, 2: 4, 3: 1, 4: 1}",1
124,False,"{'a': 0.01, 'e': 0.3153223623952687}",35,18,29.030636043500596,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.01, 'e': 0.30581690837828934}",20,8,1.9312233479015162,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
126,False,"{'a': 0.01, 'e': 0.29628087292531874}",25,20,6.968953309363172,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.01, 'e': 0.2867152096319555}",35,10,-7.265484591874697,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",1
128,False,"{'a': 0.01, 'e': 0.2771208750565576}",20,0,-51.40820520402615,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
129,False,"{'a': 0.01, 'e': 0.26749882862458735}",20,12,-25.040622464888664,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
130,False,"{'a': 0.01, 'e': 0.25785003253266964}",30,22,14.422395192282687,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
